trend,audience,mechanic,loop,money,format,has_ai,word_count,year,created,votes,hit,name
other,businesses,ai_generator,none,unknown,chat_voice,1,35,2023,2023-12-28,1,0,Immersive Fox
other,other,ai_generator,none,unknown,other,1,41,2023,2023-12-28,2,0,RefineBase
ai_agents,businesses,ai_generator,none,unknown,other,1,41,2023,2023-12-28,10,0,EstateText
other,other,ai_generator,none,unknown,other,1,39,2023,2023-12-28,89,0,Turbo Paint : Realtime AI Drawing
other,other,ai_generator,none,unknown,chat_voice,1,33,2023,2023-12-28,1,0,How to Use ChatGPT
productivity,other,ai_assistant,none,unknown,chat_voice,1,41,2023,2023-12-28,89,0,Hintscribe
other,students,utility,none,unknown,web,1,47,2023,2023-12-28,4,0,AI Top100
other,consumers,ai_assistant,none,unknown,mobile,1,48,2023,2023-12-28,129,0,Microsoft Copilot for Android
productivity,developers,social_feed,none,unknown,other,1,54,2023,2023-12-28,118,0,RepoNotes
productivity,businesses,utility,none,unknown,mobile,1,40,2023,2023-12-28,1,0,MEJ ERP AI
creator,developers,ai_assistant,none,unknown,web,1,48,2023,2023-12-28,153,0,WeConnect.chat
productivity,other,ai_assistant,none,unknown,chat_voice,1,45,2023,2023-12-28,592,1,Monica 4.0
other,developers,tracker,none,unknown,web,1,84,2023,2023-12-28,155,0,Hudby.io — Create. Grow. Monetize.
other,students,social_feed,shareable_output,freemium,other,1,57,2023,2023-12-28,620,1,100DaysOfAI Challenge
dating_social,other,social_feed,community,unknown,other,1,33,2023,2023-12-28,2,0,SwapStory
other,other,utility,none,unknown,other,1,42,2023,2023-12-28,3,0,Prompt Overflow
creator,developers,ai_assistant,none,unknown,chat_voice,1,43,2023,2023-12-28,3,0,Focal Studio
other,businesses,tracker,none,unknown,web,1,45,2023,2023-12-28,3,0,ChurnAxe
other,other,social_feed,none,unknown,other,1,54,2023,2023-12-28,19,0,Content Redefined
productivity,businesses,utility,none,unknown,other,1,30,2023,2023-12-28,1,0,Upsop (beta)
productivity,developers,tracker,none,unknown,browser_ext,1,44,2023,2023-12-28,6,0,GPT Finder Chrome Extension
productivity,other,utility,none,unknown,chat_voice,1,52,2023,2023-12-28,3,0,BearGPT - Chatgpt Enhancer
creator,students,utility,none,unknown,other,1,43,2023,2023-12-28,2,0,AI Learning 101
productivity,developers,tracker,none,unknown,chat_voice,1,41,2023,2023-12-28,258,1,Genie AI
other,businesses,utility,none,subscription,web,1,27,2023,2023-12-28,2,0,Your-AI
other,other,utility,none,unknown,other,1,51,2023,2023-12-28,3,0,videoGPT
other,developers,utility,none,unknown,api_dev,1,48,2023,2023-12-27,1,0,Gemini GPT AI
mental_health,developers,ai_assistant,none,unknown,api_dev,1,52,2023,2023-12-27,2,0,Appastic
other,students,utility,none,unknown,chat_voice,1,46,2023,2023-12-27,2,0,LexiGym
productivity,other,ai_assistant,none,unknown,chat_voice,1,41,2023,2023-12-27,5,0,RiKiAI
productivity,other,tracker,none,unknown,mobile,1,38,2023,2023-12-27,1,0,MEJ Work AI
other,other,utility,none,unknown,other,1,62,2023,2023-12-27,2,0,Echo Design
productivity,developers,utility,none,subscription,chat_voice,1,39,2023,2023-12-27,154,0,AnswerFlow AI
other,other,tracker,none,unknown,mobile,1,52,2023,2023-12-27,146,0,crAion
dating_social,other,ai_generator,none,unknown,chat_voice,1,44,2023,2023-12-27,201,0,Avatars by Studio Neiro AI
other,other,utility,none,unknown,other,1,36,2023,2023-12-27,511,1,Suno.ai
other,consumers,utility,none,unknown,other,1,14,2023,2023-12-27,10,0,Limnr AI
mental_health,other,social_feed,shareable_output,subscription,other,1,50,2023,2023-12-27,121,0,MyYearInReview
other,developers,ai_generator,none,unknown,chat_voice,1,41,2023,2023-12-27,10,0,CouponGPTs
ai_agents,developers,utility,none,unknown,api_dev,1,47,2023,2023-12-27,2,0,BafCloud
other,other,utility,none,unknown,other,1,62,2023,2023-12-27,13,0,Echo Design
other,other,utility,none,unknown,other,1,36,2023,2023-12-27,1,0,Aurk
productivity,developers,ai_assistant,invite_collab,unknown,chat_voice,1,44,2023,2023-12-27,5,0,Amigo
productivity,developers,social_feed,none,unknown,other,1,61,2023,2023-12-27,1,0,Latest AI News Aggregrator by Find Me AI
other,consumers,ai_generator,none,freemium,other,1,42,2023,2023-12-27,2,0,https://aifunkopop.top/
productivity,businesses,utility,none,unknown,chat_voice,1,33,2023,2023-12-27,2,0,speakSync
dating_social,consumers,ai_assistant,none,unknown,chat_voice,1,41,2023,2023-12-26,1,0,PresChat
other,other,ai_generator,none,unknown,other,1,27,2023,2023-12-26,0,0,AI-powered Digital Marketing
other,consumers,ai_generator,none,unknown,other,1,39,2023,2023-12-26,238,1,BabyStoryAI
other,other,ai_generator,none,freemium,other,1,50,2023,2023-12-26,129,0,Drawing Prompt
other,other,ai_generator,none,freemium,chat_voice,1,29,2023,2023-12-26,2,0,Vidnoz Text to Speech
productivity,other,tracker,none,unknown,other,1,51,2023,2023-12-26,5,0,Notes AI (Beta)
other,businesses,utility,invite_collab,unknown,browser_ext,1,45,2023,2023-12-26,380,1,Design Buddy
ai_agents,other,utility,none,unknown,web,1,33,2023,2023-12-26,3,0,Drooid
other,other,utility,none,freemium,other,1,31,2023,2023-12-26,1,0,Cartoon My Dog AI
other,developers,ai_generator,none,unknown,other,1,58,2023,2023-12-26,1,0,Text to Action
finance,developers,utility,none,unknown,api_dev,1,47,2023,2023-12-26,1,0,Coin Wizard
other,developers,utility,none,unknown,web,1,49,2023,2023-12-26,1,0,Image2Css
mental_health,other,ai_assistant,none,unknown,other,1,53,2023,2023-12-26,1,0,EmyeHR
other,consumers,marketplace,none,unknown,other,1,47,2023,2023-12-26,0,0,BeautiAI
productivity,other,utility,none,unknown,other,1,34,2023,2023-12-26,5,0,Huntd
other,businesses,tracker,none,unknown,web,1,50,2023,2023-12-26,1,0,ViralDashboard AI Review
other,other,utility,none,freemium,other,1,34,2023,2023-12-26,2,0,Vidnoz Talking Photo
productivity,developers,utility,none,unknown,api_dev,1,48,2023,2023-12-26,7,0,PromptLab
other,developers,ai_assistant,none,unknown,chat_voice,1,46,2023,2023-12-26,2,0,RealEngineersai
productivity,other,tracker,none,unknown,other,1,35,2023,2023-12-26,829,1,Inbox Zero
other,other,utility,none,freemium,other,1,54,2023,2023-12-26,90,0,Epic Selfie
productivity,developers,tracker,none,b2b,other,1,47,2023,2023-12-26,1,0,AlgForce Copilot
creator,other,utility,none,freemium,other,1,44,2023,2023-12-26,2,0,Cosmic Content AI
other,businesses,utility,none,freemium,web,1,30,2023,2023-12-25,1,0,AI Solutions for SMEs
productivity,other,ai_generator,none,freemium,web,1,52,2023,2023-12-25,3,0,Free AI Art Generator
productivity,consumers,ai_generator,none,unknown,other,1,40,2023,2023-12-25,1,0,How About...? (如何？)
other,other,tracker,none,subscription,other,1,14,2023,2023-12-25,3,0,Simulation Creative
other,developers,ai_generator,none,unknown,web,1,30,2023,2023-12-25,6,0,Weber Ai
productivity,other,utility,none,unknown,web,1,48,2023,2023-12-25,6,0,tldrx.me
productivity,developers,ai_assistant,none,unknown,browser_ext,1,45,2023,2023-12-25,283,1,AI Employe
other,other,ai_generator,none,unknown,other,1,41,2023,2023-12-25,123,0,Fabric Content Analyzer
other,consumers,ai_generator,none,unknown,other,1,52,2023,2023-12-25,120,0,New Year Resolutions AI
other,other,ai_generator,none,freemium,other,1,52,2023,2023-12-25,3,0,Promptigen - Ai image to prompt
other,businesses,ai_generator,invite_collab,unknown,other,1,32,2023,2023-12-25,2,0,Vidnoz Custom Avatar
productivity,businesses,social_feed,shareable_output,unknown,other,1,32,2023,2023-12-25,2,0,docdocsai
other,businesses,social_feed,none,unknown,other,1,46,2023,2023-12-25,432,1,Zocket
other,businesses,ai_assistant,none,freemium,chat_voice,1,49,2023,2023-12-25,20,0,ConversateAI.
other,other,utility,none,unknown,web,1,41,2023,2023-12-25,1,0,AI Master Project
other,developers,utility,none,unknown,api_dev,1,55,2023,2023-12-25,4,0,novita.ai Image to Video - Motion
other,other,utility,none,unknown,chat_voice,1,26,2023,2023-12-25,2,0,Vidnoz AI Voice Cloning
other,developers,utility,none,unknown,other,1,57,2023,2023-12-25,1,0,LocGuessr
other,developers,utility,none,unknown,api_dev,1,53,2023,2023-12-25,1,0,Sample Concentrator
productivity,consumers,ai_generator,none,subscription,other,1,36,2023,2023-12-25,24,0,Christmas Card Factory
other,other,ai_generator,none,unknown,other,1,53,2023,2023-12-24,2,0,My Pet Christmas | High-res Pet Photos
other,developers,utility,none,unknown,chat_voice,1,48,2023,2023-12-24,5,0,LLaMa2Lang
productivity,other,marketplace,none,unknown,web,1,34,2023,2023-12-24,1,0,only one ai
mental_health,other,ai_generator,shareable_output,freemium,other,1,53,2023,2023-12-24,9,0,AI Poem Generator
productivity,consumers,social_feed,none,unknown,web,1,45,2023,2023-12-24,396,1,Spiritme AI ScriptWriter
finance,businesses,utility,shareable_output,unknown,other,1,34,2023,2023-12-24,102,0,RolesHQ
creator,consumers,ai_generator,none,freemium,chat_voice,1,35,2023,2023-12-24,131,0,Fanfuel
other,businesses,ai_generator,shareable_output,unknown,chat_voice,1,43,2023,2023-12-24,91,0,ProductAssist
productivity,developers,ai_assistant,none,unknown,chat_voice,1,54,2023,2023-12-24,243,1,JaevesAI Creative Suite 2.0 (Beta)
other,other,utility,none,unknown,other,1,43,2023,2023-12-24,2,0,YouTube Scribe
creator,other,ai_generator,none,one_time,other,1,27,2023,2023-12-24,2,0,ReelsVault
other,other,utility,none,unknown,other,1,40,2023,2023-12-24,7,0,Ramsay Roasts
productivity,consumers,ai_generator,none,unknown,other,1,45,2023,2023-12-24,3,0,Sheety
other,other,ai_generator,none,unknown,other,1,53,2023,2023-12-24,3,0,Span App: AI Text-To-Edit
other,other,tracker,none,unknown,other,1,30,2023,2023-12-24,7,0,GPTs Hub
productivity,developers,ai_assistant,none,subscription,chat_voice,1,41,2023,2023-12-24,2,0,Boss Copilot
productivity,businesses,ai_generator,invite_collab,subscription,web,1,40,2023,2023-12-24,292,1,Collab
creator,creators_solo,utility,none,freemium,other,1,50,2023,2023-12-24,5,0,Doodly Alternative
productivity,developers,utility,none,unknown,web,1,27,2023,2023-12-24,0,0,Sketch2Code
finance,businesses,tracker,none,subscription,web,1,40,2023,2023-12-24,1,0,Money Insight
productivity,other,tracker,none,unknown,chat_voice,1,28,2023,2023-12-24,1,0,GPT YELLOW PAGE
other,developers,tracker,none,unknown,api_dev,1,40,2023,2023-12-23,2,0,Life2vec AI Death Calculator
other,other,ai_generator,none,unknown,chat_voice,1,42,2023,2023-12-23,1,0,Bigsib
other,other,social_feed,none,unknown,other,1,22,2023,2023-12-23,0,0,Writei
other,businesses,marketplace,invite_collab,unknown,web,1,39,2023,2023-12-23,2,0,aitoolsdomain.com
productivity,other,utility,none,unknown,other,1,32,2023,2023-12-23,2,0,Wrestle.rnd
productivity,other,marketplace,none,unknown,browser_ext,1,39,2023,2023-12-23,65,0,ChatGPT Finder
other,other,ai_generator,none,unknown,other,1,34,2023,2023-12-23,358,1,VideoPoet
mental_health,consumers,ai_assistant,none,unknown,chat_voice,1,47,2023,2023-12-23,150,0,Reassurance AI (Beta)
productivity,students,utility,none,unknown,mobile,1,34,2023,2023-12-23,1,0,Pagunt
other,developers,utility,none,unknown,api_dev,1,22,2023,2023-12-23,1,0,TailorCraft AI
other,developers,ai_generator,none,unknown,other,1,52,2023,2023-12-23,1,0,DataPediaDiscover what AI can do for you
productivity,developers,ai_generator,none,unknown,other,1,51,2023,2023-12-23,1,0,DataPediaDiscover what AI can do for you
productivity,other,utility,none,subscription,web,1,44,2023,2023-12-23,1,0,PromptBoom
other,students,ai_generator,none,unknown,other,1,40,2023,2023-12-23,1,0,AI Story Generator
finance,developers,marketplace,none,unknown,web,1,40,2023,2023-12-23,2,0,Nova Store
other,other,utility,none,unknown,other,1,47,2023,2023-12-23,5,0,Sint
creator,creators_solo,ai_generator,none,freemium,other,1,38,2023,2023-12-23,1,0,Artigen Pro
other,businesses,ai_assistant,none,freemium,chat_voice,1,28,2023,2023-12-23,3,0,AI Shopping Assistant
other,consumers,tracker,none,unknown,chat_voice,1,39,2023,2023-12-23,1,0,ChatGPT UnWrapped
ai_agents,other,marketplace,none,unknown,other,1,35,2023,2023-12-23,41,0,Prompt Palooza
other,other,utility,none,unknown,other,1,40,2023,2023-12-23,1,0,Lemon Sight
other,consumers,tracker,none,unknown,other,1,38,2023,2023-12-23,0,0,Death Calculator AI
other,other,utility,none,unknown,other,1,59,2023,2023-12-23,2,0,Virtual Christmas jumper wardrobe try on
other,other,ai_assistant,none,unknown,chat_voice,1,43,2023,2023-12-23,2,0,Chat Teramina
other,developers,utility,none,unknown,api_dev,1,18,2023,2023-12-23,0,0,Thai-Anime
productivity,businesses,ai_generator,community,freemium,chat_voice,1,51,2023,2023-12-22,2,0,How Can AI Help You ?
other,consumers,ai_assistant,none,unknown,chat_voice,1,53,2023,2023-12-22,12,0,Chatwit  - AI Powered Chatbot
productivity,other,ai_generator,none,unknown,browser_ext,1,47,2023,2023-12-22,14,0,AI SEO wordpress plugin
productivity,other,utility,none,unknown,other,1,50,2023,2023-12-22,95,0,editGPT
productivity,developers,ai_generator,none,unknown,other,1,29,2023,2023-12-22,88,0,SkyMusic.AI
productivity,other,utility,none,unknown,web,1,54,2023,2023-12-22,276,1,Botsonic GPT Builder
other,consumers,ai_generator,none,freemium,other,1,42,2023,2023-12-22,164,0,CapHacker
creator,creators_solo,ai_generator,none,unknown,other,1,48,2023,2023-12-22,8,0,Ideaify
other,other,ai_generator,none,freemium,other,1,41,2023,2023-12-22,135,0,Justin Trudeau Clown Generator
productivity,developers,ai_assistant,none,subscription,chat_voice,1,34,2023,2023-12-22,145,0,Snack AI
other,other,utility,none,unknown,other,1,44,2023,2023-12-22,521,1,Midjourney V6
dating_social,consumers,ai_generator,none,freemium,other,1,48,2023,2023-12-22,14,0,Holiday Card Face Swapper
other,businesses,utility,none,b2b,api_dev,1,34,2023,2023-12-22,7,0,Krutrim
dating_social,developers,social_feed,community,unknown,api_dev,1,47,2023,2023-12-22,2,0,AiToolsOnSale.com
other,students,utility,none,unknown,other,1,34,2023,2023-12-22,0,0,CloudSecurityExams.AI
other,other,ai_generator,shareable_output,freemium,other,1,46,2023,2023-12-22,7,0,MidVector
other,businesses,utility,invite_collab,unknown,other,1,31,2023,2023-12-22,0,0,PortraitPhoto.ai
other,businesses,utility,none,unknown,api_dev,1,46,2023,2023-12-22,1,0,AI Profits Propel Review
other,other,utility,none,unknown,mobile,1,48,2023,2023-12-22,2,0,AI-Backed Mobile Marketing
other,consumers,ai_generator,none,unknown,other,1,51,2023,2023-12-22,131,0,PromptifyPRO
other,consumers,utility,none,unknown,other,1,43,2023,2023-12-22,146,0,Portrait Art
mental_health,developers,ai_assistant,none,unknown,chat_voice,1,53,2023,2023-12-22,7,0,AMARI - TheBroCode.
other,developers,ai_assistant,none,unknown,chat_voice,1,48,2023,2023-12-22,8,0,ExclamationGPT
other,other,ai_generator,none,freemium,chat_voice,1,41,2023,2023-12-22,1,0,Free Advanced Ai tools
dating_social,consumers,ai_assistant,none,unknown,chat_voice,1,50,2023,2023-12-22,2,0,DreamMates
other,consumers,utility,none,unknown,web,1,47,2023,2023-12-21,2,0,IntelliQ
dating_social,other,utility,none,unknown,other,1,40,2023,2023-12-21,0,0,Outfit Anyone AI
other,other,tracker,none,unknown,browser_ext,1,32,2023,2023-12-21,1,0,GPT Stats: View GPT Popularity
productivity,developers,ai_assistant,none,unknown,chat_voice,1,45,2023,2023-12-21,91,0,BotStacks
other,other,utility,none,freemium,web,1,51,2023,2023-12-21,91,0,domian.io
other,other,ai_assistant,none,freemium,chat_voice,1,49,2023,2023-12-21,96,0,Genie
other,consumers,utility,none,unknown,other,1,58,2023,2023-12-21,105,0,Tripo AI
finance,consumers,tracker,none,unknown,other,1,33,2023,2023-12-21,1,0,AI4Fire
productivity,other,utility,none,unknown,chat_voice,1,40,2023,2023-12-21,152,0,Helix
other,other,utility,none,unknown,other,1,44,2023,2023-12-21,70,0,Picmojo
productivity,other,ai_assistant,none,unknown,other,1,34,2023,2023-12-21,153,0,Dr. Change
productivity,consumers,ai_generator,none,unknown,other,1,36,2023,2023-12-21,229,0,HeyGen’s Personalized Video Generator
other,other,ai_assistant,none,unknown,other,1,54,2023,2023-12-21,427,1,Rex Nutribot
dating_social,consumers,ai_assistant,none,unknown,chat_voice,1,41,2023,2023-12-21,2,0,MyCompanions
other,other,ai_generator,none,unknown,other,1,28,2023,2023-12-21,1,0,Booth AI
dating_social,other,social_feed,shareable_output,unknown,chat_voice,1,55,2023,2023-12-21,2,0,Talk Shop
ai_agents,businesses,utility,invite_collab,unknown,other,1,36,2023,2023-12-21,16,0,MindPal for Teams
finance,consumers,tracker,none,unknown,chat_voice,1,48,2023,2023-12-21,1,0,FinanceGPT Chat
other,developers,utility,none,unknown,web,1,39,2023,2023-12-21,1,0,HowImportant
productivity,businesses,utility,none,unknown,other,1,49,2023,2023-12-21,2,0,Grow My Small Business AI
productivity,developers,ai_assistant,community,one_time,chat_voice,1,40,2023,2023-12-21,4,0,WhatsUpDoc
productivity,creators_solo,utility,none,freemium,chat_voice,1,53,2023,2023-12-21,7,0,Klorah
other,businesses,utility,none,unknown,other,1,46,2023,2023-12-21,1,0,Localposh
other,other,utility,none,unknown,other,1,43,2023,2023-12-21,642,1,Drawww
other,students,utility,none,freemium,other,1,59,2023,2023-12-21,278,1,Magic Hour
other,consumers,social_feed,shareable_output,unknown,other,1,41,2023,2023-12-21,2,0,Euphonme
productivity,developers,utility,none,unknown,browser_ext,1,44,2023,2023-12-21,1,0,ChatCap for GPT-4
productivity,other,tracker,none,unknown,chat_voice,1,45,2023,2023-12-21,8,0,Returnafly
other,businesses,ai_generator,none,unknown,web,1,50,2023,2023-12-21,175,0,Cline
ai_agents,other,ai_assistant,none,unknown,chat_voice,1,48,2023,2023-12-21,1,0,Garden Of AI Internet Search
productivity,developers,ai_assistant,invite_collab,unknown,chat_voice,1,48,2023,2023-12-21,2,0,SMAQ
other,developers,utility,none,unknown,web,1,40,2023,2023-12-20,57,0,Assembert
other,businesses,ai_assistant,none,unknown,chat_voice,1,51,2023,2023-12-20,1,0,Santa Chat
productivity,other,utility,none,unknown,other,1,25,2023,2023-12-20,10,0,AI Bypass
other,developers,ai_generator,none,freemium,web,1,62,2023,2023-12-20,1,0,Iframes of AI Story Generator
other,other,ai_generator,none,unknown,other,1,55,2023,2023-12-20,1,0,Summary with AI
other,consumers,ai_assistant,none,unknown,other,1,45,2023,2023-12-20,112,0,What's Vita
other,students,marketplace,none,unknown,browser_ext,1,42,2023,2023-12-20,3,0,SlideInstantly
other,consumers,marketplace,none,unknown,other,1,37,2023,2023-12-20,1,0,Second Skin
other,other,utility,none,unknown,other,1,44,2023,2023-12-20,1,0,Semi Automatic Polarimeter
other,businesses,utility,none,unknown,other,1,53,2023,2023-12-20,1,0,Nick Saraev
productivity,businesses,ai_assistant,none,unknown,chat_voice,1,39,2023,2023-12-20,103,0,ConversaLink
productivity,developers,ai_generator,none,unknown,api_dev,1,40,2023,2023-12-20,1,0,Linnk
other,developers,ai_assistant,none,unknown,chat_voice,1,56,2023,2023-12-20,1,0,MQTTX - the MQTT AI Copilot
finance,businesses,utility,none,freemium,other,1,41,2023,2023-12-20,2,0,AI Business Insurance Calculator
other,consumers,utility,none,unknown,chat_voice,1,47,2023,2023-12-20,5,0,Santa AI
other,other,ai_generator,none,unknown,other,1,31,2023,2023-12-20,115,0,Alter AI: AI Headshot Generator
other,other,ai_generator,none,unknown,other,1,61,2023,2023-12-20,178,0,AI Christmas Portrait Generator
other,other,utility,none,unknown,web,1,37,2023,2023-12-20,141,0,DaDa
dating_social,other,ai_assistant,none,unknown,chat_voice,1,50,2023,2023-12-20,164,0,Twixie
ai_agents,other,utility,none,unknown,api_dev,1,46,2023,2023-12-20,274,1,Knowlee AI
other,other,utility,none,unknown,chat_voice,1,44,2023,2023-12-20,3,0,GPT Movie Recommender
other,businesses,tracker,none,unknown,other,1,44,2023,2023-12-20,133,0,Competitor Analysis by Pythia World
other,other,ai_generator,none,unknown,other,1,42,2023,2023-12-20,1,0,Secto Beta
creator,developers,tracker,none,unknown,api_dev,1,47,2023,2023-12-20,1,0,Artificial Intelligence Digest
other,businesses,utility,invite_collab,subscription,mobile,1,52,2023,2023-12-20,1,0,Nutrition AI
productivity,other,utility,none,unknown,chat_voice,1,35,2023,2023-12-20,1,0,Scentient By ChatGPT
ai_agents,businesses,social_feed,invite_collab,unknown,web,1,49,2023,2023-12-20,168,0,Opencord AI
productivity,other,marketplace,none,unknown,other,1,41,2023,2023-12-20,1,0,AI Pill
other,developers,utility,none,unknown,api_dev,1,45,2023,2023-12-20,1,0,PomPrix
productivity,other,ai_generator,none,unknown,chat_voice,1,59,2023,2023-12-20,13,0,AI Chat (BETA) for PDF Expert
other,developers,ai_generator,none,unknown,chat_voice,1,45,2023,2023-12-20,1,0,Intelligence Lab - AI Generator
creator,creators_solo,social_feed,none,unknown,browser_ext,1,48,2023,2023-12-20,312,1,Snowball
other,consumers,utility,none,freemium,other,1,50,2023,2023-12-20,999,1,LogoFast
other,businesses,tracker,invite_collab,unknown,chat_voice,1,47,2023,2023-12-20,264,1,Findly
productivity,developers,ai_generator,none,unknown,api_dev,1,40,2023,2023-12-20,289,1,Linnk.AI
productivity,other,marketplace,none,unknown,browser_ext,1,38,2023,2023-12-20,13,0,AI Tools Alternatives: Chrome Extension
other,students,ai_generator,none,unknown,other,1,27,2023,2023-12-20,1,0,AIQuizGen
other,businesses,tracker,none,unknown,other,1,30,2023,2023-12-20,2,0,GoodNews - Trending News
dating_social,consumers,ai_generator,none,unknown,other,1,35,2023,2023-12-20,5,0,Giftron: Personalized Gift finder
finance,other,utility,none,unknown,web,1,39,2023,2023-12-20,24,0,World Store
other,consumers,ai_generator,none,unknown,other,1,59,2023,2023-12-20,1,0,Pet Avatar Pro by PicAPetName
productivity,consumers,ai_assistant,none,unknown,chat_voice,1,42,2023,2023-12-20,7,0,Date Me Docs
other,other,ai_generator,none,unknown,web,1,43,2023,2023-12-20,261,1,Krea
other,other,utility,none,unknown,chat_voice,1,54,2023,2023-12-20,326,1,Shader
dating_social,consumers,social_feed,none,unknown,other,1,24,2023,2023-12-20,2,0,HBeatCall
other,developers,utility,none,unknown,api_dev,1,57,2023,2023-12-20,1,0,Manual Disc Polarimeter
other,other,utility,none,unknown,mobile,1,56,2023,2023-12-20,3,0,Shedevrum
other,developers,utility,none,unknown,web,1,36,2023,2023-12-20,1,0,AITokenFactory
other,businesses,ai_generator,none,unknown,other,1,49,2023,2023-12-19,1,0,Rooftops Explorer
